id_student,SumOfsum_click,final_result
2594139,765,Pass
2598871,588,Pass
2599352,340,Pass
2600688,232,Pass
260355,400,Withdrawn
2606098,130,Pass
2613116,362,Pass
2617002,281,Pass
262011,385,Pass
2620584,92,Fail
262934,967,Pass
2639449,217,Pass
2639540,408,Pass
2639641,571,Pass
2641155,1561,Pass
2643002,811,Pass
2645733,413,Pass
2649826,1013,Distinction
2650282,230,Pass
2664024,156,Pass
2666246,200,Pass
2669816,70,Fail
2671132,828,Pass
2676809,145,Fail
2678643,605,Pass
268073,849,Fail
2685865,681,Pass
268733,141,Fail
268733,141,Withdrawn
2688067,86,Pass
2689958,950,Distinction
2691206,549,Distinction
2691244,94,Pass
2694424,773,Pass
2698257,324,Pass
271251,1052,Pass
277880,2238,Withdrawn
279572,377,Distinction
281022,155,Pass
281250,89,Fail
281589,49,Fail
282821,904,Pass
28400,625,Pass
286488,113,Pass
287548,232,Pass
290201,620,Pass
290757,131,Pass
291334,1570,Distinction
293699,12,Pass
294570,667,Pass
294594,227,Pass
295741,286,Fail
295741,286,Pass
296332,739,Distinction
298696,242,Pass
300398,708,Pass
302302,153,Fail
30268,281,Withdrawn
305152,115,Fail
305386,590,Pass
305539,68,Withdrawn
306107,319,Pass
306466,393,Pass
306897,1246,Pass
307061,313,Pass
307866,468,Pass
311917,606,Pass
312537,4245,Distinction
312782,135,Pass
31604,566,Pass
318933,443,Pass
319047,1130,Pass
321942,3233,Pass
324002,731,Pass
324084,469,Pass
324282,67,Pass
32885,585,Pass
331358,1756,Distinction
331358,1756,Withdrawn
332789,433,Pass
333059,46,Pass
333323,193,Pass
334259,259,Fail
334333,252,Withdrawn
335764,1120,Pass
335764,1120,Withdrawn
336207,544,Pass
339972,117,Pass
342007,779,Pass
342007,779,Withdrawn
342514,592,Pass
342972,384,Pass
343446,1013,Pass
344282,31,Fail
345068,105,Pass
345357,525,Distinction
346025,189,Pass
346843,106,Fail
350188,240,Pass
354858,198,Withdrawn
357668,48,Fail
364177,214,Fail
365244,410,Pass
365642,643,Pass
366483,418,Pass
368194,114,Pass
368824,72,Fail
368963,356,Pass
376439,919,Distinction
376581,514,Pass
38053,774,Pass
380953,400,Pass
383254,158,Pass
386924,47,Pass
386952,387,Pass
388722,321,Pass
388885,306,Pass
390890,353,Pass
390890,353,Withdrawn
392756,164,Fail
392931,520,Pass
393207,241,Pass
396872,243,Pass
398552,350,Fail
401869,541,Pass
402470,651,Pass
404804,375,Pass
405088,392,Pass
414117,239,Pass
415969,1011,Fail
415969,1011,Withdrawn
420087,108,Fail
429958,85,Pass
441018,242,Pass
441888,160,Pass
442442,619,Withdrawn
444677,320,Distinction
45462,610,Pass
45642,451,Pass
470588,662,Withdrawn
489455,909,Pass
494424,58,Fail
495284,349,Pass
498857,365,Pass
508818,588,Pass
512460,158,Pass
52130,418,Pass
53025,619,Pass
544103,1083,Pass
550383,499,Pass
564450,76,Fail
568601,226,Withdrawn
572652,159,Pass
57506,579,Pass
580389,614,Pass
581129,88,Fail
58873,533,Pass
588775,1464,Pass
591774,273,Pass
59185,587,Pass
603861,638,Withdrawn
606143,306,Fail
62155,793,Pass
63400,870,Pass
65002,94,Fail
65002,94,Withdrawn
704156,895,Pass
70464,424,Pass
705379,1042,Distinction
71361,1124,Pass
721259,2456,Withdrawn
74372,39,Fail
749412,1381,Pass
75091,1056,Pass
760729,1861,Distinction
77367,303,Pass
905042,751,Pass
91265,418,Pass
94961,294,Pass
94961,294,Withdrawn
949618,407,Pass
958987,235,Pass
968578,191,Pass
969076,739,Withdrawn
971027,915,Pass
978739,1816,Pass
98094,1189,Pass
