id_student,SumOfsum_click,final_result
2516503,632,Pass
2518069,461,Pass
2521459,130,Pass
2523736,127,Pass
2529279,229,Pass
2532302,197,Pass
2536991,225,Distinction
2550279,823,Pass
2551220,240,Pass
2552472,62,Withdrawn
2555340,1064,Pass
255548,660,Pass
2557283,1994,Pass
2559575,131,Pass
2566163,269,Pass
2566592,283,Pass
256815,317,Pass
2569324,1,Pass
2569324,1,Withdrawn
2574528,344,Pass
2574583,642,Pass
2576122,1,Fail
2576122,1,Withdrawn
2578995,409,Pass
258392,215,Pass
2586560,772,Pass
258894,1400,Pass
2594139,269,Pass
2598871,405,Pass
2599352,193,Pass
2600688,173,Pass
260355,280,Withdrawn
2606098,68,Pass
2613116,422,Pass
2617002,198,Pass
262011,246,Pass
262934,718,Pass
2639449,158,Pass
2639540,603,Pass
2639641,552,Pass
2641155,1178,Pass
2643002,371,Pass
2645733,350,Pass
2649826,1701,Distinction
2650282,143,Pass
2664024,218,Pass
2666246,97,Pass
2669816,99,Fail
2671132,849,Pass
2676809,148,Fail
2678643,395,Pass
268073,764,Fail
2685865,463,Pass
268733,1,Fail
268733,1,Withdrawn
2688067,16,Pass
2689958,1192,Distinction
2691206,661,Distinction
2691244,146,Pass
2694424,1230,Pass
2698257,236,Pass
271251,968,Pass
277880,988,Withdrawn
279572,250,Distinction
281022,119,Pass
281250,16,Fail
281589,5,Fail
282821,503,Pass
28400,271,Pass
286488,450,Pass
287548,158,Pass
290201,481,Pass
290757,115,Pass
291334,1642,Distinction
293699,41,Pass
294570,444,Pass
294594,246,Pass
295741,280,Fail
295741,280,Pass
296332,679,Distinction
298696,96,Pass
300398,312,Pass
302302,341,Fail
305152,12,Fail
305386,204,Pass
306107,270,Pass
306466,324,Pass
306897,880,Pass
307061,286,Pass
307866,464,Pass
311917,838,Pass
312537,3478,Distinction
312782,88,Pass
31604,663,Pass
318933,440,Pass
319047,1250,Pass
321942,3076,Pass
324002,506,Pass
324084,554,Pass
324282,25,Pass
32885,162,Pass
331358,620,Distinction
331358,620,Withdrawn
332789,396,Pass
333059,46,Pass
333323,95,Pass
334259,21,Fail
334333,51,Withdrawn
335764,885,Pass
335764,885,Withdrawn
336207,365,Pass
339972,101,Pass
341872,66,Fail
342007,101,Pass
342007,101,Withdrawn
342514,513,Pass
342972,206,Pass
343446,1531,Pass
344282,10,Fail
345068,228,Pass
345357,670,Distinction
346025,162,Pass
346843,58,Fail
350188,191,Pass
357668,100,Fail
364177,258,Fail
365244,202,Pass
365642,624,Pass
366483,485,Pass
368194,143,Pass
368824,41,Fail
368963,203,Pass
376439,320,Distinction
376581,634,Pass
38053,464,Pass
380953,281,Pass
383254,147,Pass
386924,57,Pass
386952,231,Pass
388722,80,Pass
388885,176,Pass
390890,125,Pass
390890,125,Withdrawn
392756,74,Fail
392931,479,Pass
393207,189,Pass
396872,208,Pass
398552,345,Fail
401869,166,Pass
402470,570,Pass
404804,104,Pass
405088,201,Pass
414117,124,Pass
415969,272,Fail
415969,272,Withdrawn
420087,158,Fail
429958,64,Pass
441018,73,Pass
441888,96,Pass
442442,351,Withdrawn
444677,393,Distinction
45462,161,Pass
45642,325,Pass
470588,138,Withdrawn
489455,442,Pass
495284,359,Pass
498857,249,Pass
508818,216,Pass
512460,194,Pass
52130,597,Pass
53025,1004,Pass
544103,549,Pass
550383,214,Pass
564450,29,Fail
568601,146,Withdrawn
572652,132,Pass
57506,340,Pass
580389,335,Pass
581129,26,Fail
58873,467,Pass
588775,1889,Pass
591774,123,Pass
59185,191,Pass
603861,444,Withdrawn
606143,98,Fail
62155,1099,Pass
63400,717,Pass
65002,77,Fail
65002,77,Withdrawn
704156,679,Pass
70464,241,Pass
705379,1353,Distinction
71361,533,Pass
74372,41,Fail
749412,1004,Pass
75091,590,Pass
760729,2401,Distinction
77367,170,Pass
905042,837,Pass
91265,440,Pass
94961,45,Pass
94961,45,Withdrawn
949618,455,Pass
958987,388,Pass
968578,262,Pass
969076,816,Withdrawn
971027,606,Pass
978739,1881,Pass
98094,639,Pass
